url,url_length,num_dots,num_slashes,num_hyphens,has_https,has_ip,kw_login,kw_verify,kw_update,kw_secure,kw_account,label
wasalat.net,11,1,0,0,0,0,0,0,0,0,0,0
fy-hotel.com,12,1,0,1,0,0,0,0,0,0,0,0
elemecdn.com,12,1,0,0,0,0,0,0,0,0,0,0
sharkia.gov.eg,14,2,0,0,0,0,0,0,0,0,0,0
http://www.lgk-luzern.ch/index.php?option=com_content&view=article&id=45&Itemid=10,82,3,3,1,0,0,0,0,0,0,0,1
sover.net,9,1,0,0,0,0,0,0,0,0,0,0
krystelscooking.com,19,1,0,0,0,0,0,0,0,0,0,0
pixelarcadedeck.com,19,1,0,0,0,0,0,0,0,0,0,0
bioageprofissional.com.br,25,2,0,0,0,0,0,0,0,0,0,0
http://www.antonov-vrtec.si/index.php?start=4,45,3,3,1,0,0,0,0,0,0,0,1
ggstudiohouse.com,17,1,0,0,0,0,0,0,0,0,0,0
absoluteastronomy.com/topics/Jamie_Gold,39,1,2,0,0,0,0,0,0,0,0,1
cuttingcomponents.com,21,1,0,0,0,0,0,0,0,0,0,0
oldcardboard.com,16,1,0,0,0,0,0,0,0,0,0,0
urbanlaurel.com,15,1,0,0,0,0,0,0,0,0,0,0
gruporecordar.co,16,1,0,0,0,0,0,0,0,0,0,0
okecelebnews.blogspot.com/2010/08/pakistani-actress-mona-lisa-blue-film.html,76,3,3,5,0,0,0,0,0,0,0,1
ag-994.com,10,1,0,1,0,0,0,0,0,0,0,0
fushaar.link,12,1,0,0,0,0,0,0,0,0,0,0
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=1&option=com_virtuemart&Itemid=6,102,3,3,0,0,0,0,0,0,0,0,1
scoutier.com.ng,15,2,0,0,0,0,0,0,0,0,0,0
kb32.com/barnet-v-milton-keynes-dons-livestream-30-07-2011/,59,1,2,8,0,0,0,0,0,0,0,1
en.wikipedia.org/wiki/Humphrey_Gilbert,38,2,2,0,0,0,0,0,0,0,0,1
africavoting.com,16,1,0,0,0,0,0,0,0,0,0,0
http://www.metalsul.ind.br/site/index.php?option=com_contact&view=contact&id=18:repapevaldo&catid=17:contatosap,111,4,4,0,0,0,0,0,0,0,0,1
https://archive.org/search.php?query=mediatype:texts&sort=-publicdate&and[]=subject%3A%22The%20Sydney%20Morning%20Herald%22,123,2,3,1,1,0,0,0,0,0,0,1
http://142.44.211.179/bins.sh,29,4,3,0,0,0,0,0,0,0,0,1
71ge.com,8,1,0,0,0,0,0,0,0,0,0,0
grupposcotti.it,15,1,0,0,0,0,0,0,0,0,0,0
027cp.cn,8,1,0,0,0,0,0,0,0,0,0,0
https://pervee.ru/wp-admin/RS/NetBanking/Login.htm,50,2,6,1,1,0,1,0,0,0,0,1
"'services-runescapes-forum-com.uni.me/forums.ws?58,13,636,604038973'",68,3,1,3,0,0,0,0,0,0,0,1
perimetercid.org,16,1,0,0,0,0,0,0,0,0,0,0
411mania.com/wrestling/news/208356,34,1,3,0,0,0,0,0,0,0,0,1
freebase.com/view/en/central_time_zone,38,1,3,0,0,0,0,0,0,0,0,1
http://www.penzkofer-kachelofenbau.de/index.html,48,3,3,1,0,0,0,0,0,0,0,1
cacaofabriek.nl,15,1,0,0,0,0,0,0,0,0,0,0
gacraze.net,11,1,0,0,0,0,0,0,0,0,0,0
kineoedition.com,16,1,0,0,0,0,0,0,0,0,0,0
dbpedia.openlinksw.com:8890/resource/Peter_Ndlovu,49,2,2,0,0,0,0,0,0,0,0,1
http://sydsfj.com/photo/html/71.html,36,2,5,0,0,0,0,0,0,0,0,1
http://www.gia.gm/profiles/info/TkRZeE5UUTROamN4/,49,2,6,0,0,0,0,0,0,0,0,1
amazon.com/2009-Japanese-Drama-Hissatsu-Shigotonin/dp/B0025Y525M,64,1,3,4,0,0,0,0,0,0,0,1
rabid4vinyl.com,15,1,0,0,0,0,0,0,0,0,0,0
