url,label
wasalat.net,0
fy-hotel.com,0
elemecdn.com,0
sharkia.gov.eg,0
http://www.lgk-luzern.ch/index.php?option=com_content&view=article&id=45&Itemid=10,1
sover.net,0
krystelscooking.com,0
pixelarcadedeck.com,0
bioageprofissional.com.br,0
http://www.antonov-vrtec.si/index.php?start=4,1
ggstudiohouse.com,0
absoluteastronomy.com/topics/Jamie_Gold,1
cuttingcomponents.com,0
oldcardboard.com,0
urbanlaurel.com,0
gruporecordar.co,0
okecelebnews.blogspot.com/2010/08/pakistani-actress-mona-lisa-blue-film.html,1
ag-994.com,0
fushaar.link,0
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=1&option=com_virtuemart&Itemid=6,1
scoutier.com.ng,0
kb32.com/barnet-v-milton-keynes-dons-livestream-30-07-2011/,1
en.wikipedia.org/wiki/Humphrey_Gilbert,1
africavoting.com,0
http://www.metalsul.ind.br/site/index.php?option=com_contact&view=contact&id=18:repapevaldo&catid=17:contatosap,1
https://archive.org/search.php?query=mediatype:texts&sort=-publicdate&and[]=subject%3A%22The%20Sydney%20Morning%20Herald%22,1
http://142.44.211.179/bins.sh,1
71ge.com,0
grupposcotti.it,0
027cp.cn,0
https://pervee.ru/wp-admin/RS/NetBanking/Login.htm,1
"'services-runescapes-forum-com.uni.me/forums.ws?58,13,636,604038973'",1
perimetercid.org,0
411mania.com/wrestling/news/208356,1
freebase.com/view/en/central_time_zone,1
http://www.penzkofer-kachelofenbau.de/index.html,1
cacaofabriek.nl,0
gacraze.net,0
kineoedition.com,0
dbpedia.openlinksw.com:8890/resource/Peter_Ndlovu,1
http://sydsfj.com/photo/html/71.html,1
http://www.gia.gm/profiles/info/TkRZeE5UUTROamN4/,1
amazon.com/2009-Japanese-Drama-Hissatsu-Shigotonin/dp/B0025Y525M,1
rabid4vinyl.com,0
ziplocal.ca/companies/2663-Abitibi-Consolidated-Inc,1
local.yahoo.com/info-15850812-wlio-lima,1
yyg.app,0
hostoy.com,0
www2.redhongan.com/js/?mod=www,1
steamcito.com.ar,0
hyperair.com,0
resplendence.com,0
joeyking.net/,1
5modal138.net,0
ciuzz.id1945.com/ngookk/index.html,1
http://eurokert.eu/index.php?view=article&id=87:gepi-foeldmunkak&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=201,1
faceswapper.ai,0
brassmein.com/safety/,1
youtube.com/watch?v=9VvRecyOPDc,1
rencontres-sanslendemain.com,0
afterhourspotomacsept22.eventbrite.com/,1
eden-tech.com/site/plugins/editors/FORM-UPDATE-MYBSN.htm,1
hnzjjls.cn,0
reuters.com/finance/stocks/companyOfficers?symbol=JNX.V&WTmodLOC=C4-Officers-5,1
quenchbotanics.com,0
rentokil-terminix.com,0
05ab.cn,0
odza.cn,0
dragtotop.com/hebephilia,1
surftank5.com.br,0
sportsecyclopedia.com/nhl/nyi/nylsanders.html,1
http://www.bruynzeelmultipanel.be/index.php?option=com_content&view=article&id=80&Itemid=98,1
ezzed.com,0
defensecdn.com,0
http://www.winnerhydraulicsusa.com/webstore/store/listcategoriesandproducts.asp?idcategory=130,1
http://www.vmsdoorsolutions.nl/latest-news/53-mets-2009.html,1
gstad.ru,0
unostentatious-desi.000webhostapp.com,1
shitsuren-tarot.com,0
absoluteastronomy.com/topics/Andalusian_people,1
ant1live.com,0
amazon.com/s?ie=UTF8&keywords=CKY&rh=n%3A283155%2Ck%3ACKY&page=1,1
torrentreactor.net/torrents/1714637/Count-Basie-Orchestra-Live-at-El-Morocco-Telarc-FLAC,1
www.ranches.org/swamp.htm,1
users.breathe.com/l-emmett/,1
whvn.cc,0
distance.services,0
dhu.de,0
cia367.com,0
http://www.vakantiehuislereve.nl/index.php?view=category&catid=2&page=2&catpage=1&option=com_joomgallery&Itemid=82,1
rentals.com/Ohio/Cleveland/,1
thefullwiki.org/Coastal_management,1
psc.go.ug,0
linkedin.com/pub/chris-webster/0/181/a4b,1
ebf.eu,0
http://viticoltura.net/index.php/chi-siamo/dott-edoardo-monticelli.html?tmpl=component&print=1&page=,1
classicslot777.com,0
spiritus-temporis.com/24-april/deaths.html,1
www.ddj.com/cpp/184403777,1
invia.sk,0
agencjaks.pl,0
zumbakuba.com/new-wp/vodasecurity_account_update.html,1
awsdns-25.net,0
plantsgalore.co.ke,1
livitoto789.com,0
tophostinginindia.com,0
ldmvik.cn,0
frankivsk-future.com.ua,0
forumjar.com/list/871,1
themezon.net,0
buffalobills.com,0
emvisesa.org,0
cqdqwx.cn,0
imedhospitales.com,0
www.zumbadvdreviews.org/wp-includes/css/Post/onl_kdl_login.proceed.htm,1
admixdj.com,1
guardian.co.uk/artanddesign/2011/apr/03/ai-weiwei-detained-chinese-police,1
omnisdns.net,0
aimath.org,0
meteorombas.fr/siginnowoebysignowebysignon.php,1
informantonline.com.ng,0
metrodemontreal.com/green/stlaurent/index.html,1
1gzakaz.ru,0
pr-inside.com/martinique-jazz-festival-lineup-released-r1554722.htm,1
rhgs.ca/trade/viewtradeorder.htm,1
oslobet808.com,0
smakliter.pl,0
lpsind.com/VCIPaper.htm,1
zeoseven.com,0
volnorez.com,0
myclients.io,0
maxaro.nl,0
hfboards.com/showthread.php?t=795967,1
blend-ai.com,0
amazonslots.org,0
scribd.com/doc/61409473/Enterprise-Content-Management-ECM-High-impact-Strategies-What-You-Need-to-Know-Definitions-Adoptions-Impact-Benefits-Maturity-Vendors,1
actcompany.ca/Our%20Past%20Productions.htm,1
kccrime.blogspot.com/,1
adgfwf.co,1
www.libpng.org/pub/png/pngmisc.html,1
reference.com/browse/Honore,1
parikiaki.com/archives/7394,1
speedybet.es,0
2008.heavymtl.com/en/home,1
mannativf.com,0
lazudi.com,0
shanghaimm.cn,0
authors.simonandschuster.com/Patricia-Bosworth/1119417,1
589385.com,0
linkedin.com/directory/people/penhall.html,1
mafiaenshevn.com,0
ancgifrpx.szm.com/fr.htm?ayISAPI.dll?paymentarrivosignIn,1
zephta.com,0
http://www.gsmkamera.hu/index.html?option=com_virtuemart&page=shop.tos&fontstyle=f-smaller,1
glidernet.org,0
nationaljobs.washingtonpost.com/a/all-jobs/list/q-Seiu+United+Healthcare+Workers-west%2C+Seiu-uhw,1
fam.eastmill.com/f1290.htm,1
accentgroup.ro,0
http://katproxy.com/driverpack-solution-15-5-full-driverpack-s-15-04-5-team-os-hkrg-t10597131.html,1
jjjy3nc.com,0
vipcinemas.com,0
tez888.co.in,0
preprodtrafficmanager.azure,0
anyday.io,0
griffith.edu.au,0
vipsektorweb.net,0
http://www.easy-process.de/de/referenzen.html,1
wisetrck.com,0
http://thenextweb.com/opinion/2015/05/13/im-tired-of-startups-asking-us-to-take-the-risk-on-their-pre-order-products/,1
answers.com/topic/lachance-1,1
forums.autosport.com/index.php?showtopic=65849,1
filmcritic.com/reviews/2005/pride-prejudice/,1
www.ahdxgroup.cn/js/?us.battle.ne...,1
swi-tc.com,0
http://creche-hermonville.com/index.php?option=com_content&view=article&id=66&Itemid=77&fontstyle=f-default,1
ditadopop.com.br/SothebyRealty/loading.html,1
home.earthlink.net/~nrsa/ipb.html,1
confirm-your-service.com/14/3419e5f2b759d601a899fa61b1496086/,1
l6zvwkl.com,0
moenchengladbach.de,0
southbay.ymca.org/,1
tootsie.cn,0
stacjaobslugi.pl/wp-content/plugins/akismet/lndex.html,1
ritholtz.com,0
swell-theme.com,0
http://aljazeera.net/Home/GetPage/f6451603-4dff-4ca1-9c10-122741d17432/9da3016e-e397-46b3-b5bf-337daeb4a392,1
services-runescape-com-nss-forums.totalh.net/,1
geology.com/cities-map/missouri.shtml,1
gradintel.com,0
compeer.com,0
newdosug.eu,0
sa.my,0
stillcurtain.com,0
fialkowska.com/discography.aspx,1
movies.about.com/od/gosfordpark/Gosford_Park_2001.htm,1
scribd.com/doc/37646240/Broadcaster-2010-86-2-Winter,1
http://pznsk.ru/index.php?option=com_content&view=article&id=5&Itemid=11,1
veroniquesskincare.com/,1
ulsterbank.co.uk,0
http://distractify.com/post/related/id/554cd79e4a0c4b63184f885d/skip/30/limit/10/back/0,1
http://www.dijoser.pt/index.php/empresa/clientes/1-referencias/detail/9-ccrlvt.html?tmpl=component,1
vamdev.store,0
e2necc.com,0
justdropped.com,0
yumeconcert.com,0
galeriadistribuidora.com.br,0
http://www.nextance.com/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=37,1
winwinbot.com,0
http://www.animalairways.com/news-and-events/press-releases/182.html,1
bridge.no,0
armchairgm.wikia.com/Kansas_City_Royals,1
http://jasquaniel.com/index.php?option=com_content&view=category&layout=blog&id=12&Itemid=5,1
oportalmix.com,0
bosangkahaji.id,0
pglucky88.live,0
amazon.com/Kollaps-Tradixionales-Silver-Memorial-Orchestra/dp/B002VVQ8MU,1
alasatakunta.fi,0
http://tunein.com/radio/Potomac-Nationals-at-Wilmington-Blue-Rocks-May-13-2015-p729094/15480783/ca-pub-1542925551861702/Program,1
karaokevecherinka.ru,0
tobu.co.jp,0
portaldacopa-2014.hostoi.com/cadastrt.php,1
bmw.com.tw,0
dolfijnvakanties.nl,0
www.led.co.th/images/paypal/account/paypal.com/uscgi-binwebscrcmd=_login.submit/dispatch=5885d80a13c0db1f8e263663d/3faee8d4026841ac68a446f69dad17fb2afeca3/,1
swanswaygarages.com,0
croonet.com/start/E_NDQ1NDEwMQ%3D%3D/,1
wbpoultryfederation.org,0
http://www.stiltex-grandchef.it/index.php?view=article&catid=31:grand-chef&id=57:i-punti-di-forza&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=87,1
rks.ru,0
pgsitecore.com,0
trailsource.com/scripts/trails.asp?CITY=Simi+Valley&STATE=California+-+Southern&TYPE=BIKE&CITYID=198,1
binaryinternet.com.au,0
hec.ca/en/cicma/,1
hinova.com.br,0
mapquest.com/maps?city=Naples&state=FL&cat=Butcher+shops,1
www.eecg.toronto.edu/icpp2002/,1
library.albany.edu/subject/french.html,1
emc-corp.net,0
clampettstudio.com/bios/robert_mckimson.htm,1
britannica.com/EBchecked/topic/96832/John-Dickson-Carr,1
www.usguernsey.com/jco.htm,1
absoluteastronomy.com/topics/Philippe_Wynne,1
kepriprov.go.id,0
panasonic.ca,0
ilike.com/artist/Bonnie+Pointer,1
celebritywonder.ugo.com/movie/1999_Sugar_Town.html,1
infozine.com/news/stories/op/storiesView/sid/27981/,1
123people.co.uk/s/rachel+wilson,1
http://okumaaliskanligi.com/okuma-aliskanligi/87-okuma-aliskanligi.html?font-size=larger,1
http://www.minutemanpizzaparlor.com/~minutema/index.php?option=com_content&view=article&id=3&Itemid=9,1
http://www.rentmedia.com.ua/component/content/article/57.html,1
allspins.org,0
starraytech.com,0
wata.pro,0
falltvpreview.com/channel.php?id=209,1
jproc.ca/rrp/rrp2/1980s_antennas.html,1
kupit-diplomus-v-balakovo-64.ru,0
thanhnienviet.vn,0
wmi2.net,0
info-galaxy.com/cards/,1
paywb.com,0
imdb.com/name/nm0008985/,1
http://table-cafe.com/index.php?view=article&catid=173:about-us&id=348:about&tmpl=component&print=1&page=,1
perlssend.com,1
yellowpages.ca/bus/Ontario/Toronto/Ogilvy-Renault-LLP/3515249.html,1
naturesfinest.pl,0
neolabgamepro.com,0
www.ornl.gov/~webworks/cppr/y2001/pres/120145.pdf,1
istikbalgazetesi.com,0
http://geoyoga.com/component/mailto/index.html?type=raw&tmpl=component&link=aHR0cDovL2dlb3lvZ2EuY29tL2NvbXBvbmVudC9jb250ZW50L2FydGljbGUvNDItZ2VuZXJhbC1hcnRpY2xlcy85Ny13ZWxjb21lLXRvLWdlb3lvZ2E=,1
http://www.anthalya.it/en/journalist-area/register.html,1
www.angelfire.com/jazz/lorenvale,1
svix.com,0
