url_length,num_dots,num_slashes,num_hyphens,has_https,has_ip,kw_login,kw_verify,kw_update,kw_secure,kw_account,subdomain_count,domain_length,tld_length,has_at_symbol,double_slash,consecutive_digits,special_chars_count,has_port,redirect_indicator,query_params_count,form_action,external_links,embedded_objects,javascript_indicators,suspicious_tld,punycode_present,extra_slashes,long_domain,percent_encoding,mixed_http_https,label
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2,0,1,0,0,0,0,0,0,1,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2,0,1,0,0,0,0,0,0,1,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,2,0,1,0,0,0,0,0,0,1,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,0,1,0,0,0,0,0,0,1,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,2,0,1,0,0,0,0,0,0,1,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2,0,1,0,0,0,0,0,0,1,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,0,1,0,0,0,0,0,0,1,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,2,0,1,0,0,0,0,0,0,1,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,0,1,0,0,0,0,0,0,1,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2,0,1,0,0,0,0,0,0,1,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,0,1,0,0,0,0,0,0,1,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,2,0,1,0,0,0,0,0,0,2,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,2,0,1,0,0,0,0,0,0,1,21,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2,0,1,0,0,0,0,0,0,1,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2,0,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,0,1,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,1,0,0,0,0,0,0,1,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,0,1,0,0,0,0,0,0,1,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
